release_date,title,prod_budget,domestic_gross,worldwide_gross,start_year,runtime_mins,genre,average_rating,num_votes
2013-05-31,After Earth,130000000,60522097,251499665,2013,100.0,"Action,Adventure,Drama",4.8,181687
2013-07-19,R.I.P.D.,130000000,33618855,79076678,2013,96.0,"Action,Adventure,Comedy",5.6,109078
2019-02-22,How to Train Your Dragon: The Hidden World,129000000,160791800,519258283,2019,104.0,"Action,Adventure,Animation",7.6,60769
2000-05-19,Dinosaur,127500000,137748063,356148063,2011,77.0,Animation,7.2,23
2017-03-03,Logan,127000000,226277068,615461394,2010,94.0,"Comedy,Drama,Family",6.2,252
2014-12-19,Night at the Museum: Secret of the Tomb,127000000,113746621,353756621,2014,98.0,"Adventure,Comedy,Family",6.2,93103
2014-11-21,The Hunger Games: Mockingjay - Part 1,125000000,337135885,766575131,2014,123.0,"Action,Adventure,Sci-Fi",6.6,379050
2011-04-29,Fast Five,125000000,210031325,630163454,2011,130.0,"Action,Crime,Thriller",7.3,329892
2014-08-08,Teenage Mutant Ninja Turtles,125000000,191204754,485004754,2014,101.0,"Action,Adventure,Comedy",5.8,192220
2011-12-16,Sherlock Holmes: A Game of Shadows,125000000,186848418,535663443,2011,129.0,"Action,Adventure,Crime",7.5,394189
2017-03-31,The Boss Baby,125000000,175003033,510878762,2017,97.0,"Adventure,Animation,Comedy",6.3,93730
2010-04-01,Clash of the Titans,125000000,163214888,493214888,2010,106.0,"Action,Adventure,Fantasy",5.8,256176
2016-11-04,Trolls,125000000,153707064,344150134,2016,92.0,"Adventure,Animation,Comedy",6.5,63295
2012-06-08,Prometheus,125000000,126477084,402448265,2012,124.0,"Adventure,Mystery,Sci-Fi",7.0,538720
2012-08-10,The Bourne Legacy,125000000,113203870,280355920,2012,135.0,"Action,Adventure,Thriller",6.7,268678
